0
8323216,144,9
8323472,400,13
8323728,656,16
8323984,912,17
8324240,1168,32
8324496,1424,35
8324752,1680,36
8325008,1936,37
8327312,4240,38
8327568,4496,39
8327824,4752,40
8328080,5008,45
8328336,5264,46
8328592,5520,48
8328848,5776,49
8329104,6032,50
8331408,8336,51
8331664,8592,52
8331920,8848,53
8332176,9104,54
8332432,9360,55
8332688,9616,56
8332944,9872,57
8333200,10128,65
8335504,12432,66
8335760,12688,67
8336016,12944,68
8336272,13200,69
8336528,13456,70
8336784,13712,71
8337040,13968,72
8337296,14224,73
8339600,16528,74
8339856,16784,75
8340112,17040,76
8340368,17296,77
8340624,17552,78
8340880,17808,79
8341136,18064,80
8341392,18320,81
8343696,20624,82
8343952,20880,83
8344208,21136,84
8344464,21392,85
8344720,21648,86
8344976,21904,87
8345232,22160,88
8345488,22416,89
8347792,24720,90
8348048,24976,90
8348304,25232,96
8348560,25488,97
8348816,25744,98
8349072,26000,99
8349328,26256,100
8349584,26512,102
8351888,28816,103
8352144,29072,104
8352400,29328,105
8352656,29584,0
8352912,29840,106
8353168,30096,107
8353424,30352,108
8353680,30608,109
8349872,26800,110
8350128,27056,111
8350384,27312,160
8350640,27568,161
8350896,27824,162
8351408,28336,163
8351664,28592,186
8325264,2192,187
8329360,6288,188
8333456,10384,189
8337552,14480,190
8341648,18576,191
8349840,26768,192
8353936,30864,219
